id,text,obfuscatedText,mechanism,epsilon
1030303,who is aziz hashim,aaa mccoughtry 26-foot wijngaarden,SanText,1
1030303,who is aziz hashim,bjarnason mazzitelli paoua bihać,SanText,1
1030303,who is aziz hashim,yalla waynforth pramod pherecydes,SanText,1
1030303,who is aziz hashim,destabilize mosaica opposer anthill,SanText,1
1030303,who is aziz hashim,bosville jeffe sst slugs,SanText,1
1030303,who is aziz hashim,samsung 420-million dunton fenn,SanText,1
1030303,who is aziz hashim,hoppers ceratopsid punch stahle,SanText,1
1030303,who is aziz hashim,bernabei ribbon japanese-american 90.62,SanText,1
1030303,who is aziz hashim,suecia zecca durso butai,SanText,1
1030303,who is aziz hashim,cogley websites bindon arrington,SanText,1
1030303,who is aziz hashim,39-minute eightfold wakeling trans-tasman,SanText,1
1030303,who is aziz hashim,sumann onoe nazel kingscourt,SanText,1
1030303,who is aziz hashim,severly 2010/2011 romanichal 165.3,SanText,1
1030303,who is aziz hashim,glück srikantha al-nashiri thermoses,SanText,1
1030303,who is aziz hashim,rs-232 mfc03 aidoo quania,SanText,1
1030303,who is aziz hashim,boxwoods cogeneration 84.84 meeropol,SanText,1
1030303,who is aziz hashim,liotta vivarium iipa beattyville,SanText,1
1030303,who is aziz hashim,pharamond dendrobatidis 69.63 leukemic,SanText,1
1030303,who is aziz hashim,plettenberg landsberg zeitels boggling,SanText,1
1030303,who is aziz hashim,gekiga 57.90 without ala,SanText,1
1030303,who is aziz hashim,nimo earlimart llaw bruntsfield,SanText,1
1030303,who is aziz hashim,established pellam trematode edif,SanText,1
1030303,who is aziz hashim,advertorials lightbourne 59.09 interport.net,SanText,1
1030303,who is aziz hashim,rundel m30 kiplimo thrombolysis,SanText,1
1030303,who is aziz hashim,lc2 wieting midsized cornelissen,SanText,1
1030303,who is aziz hashim,tremec almost smarty paramedicine,SanText,1
1030303,who is aziz hashim,"http://advisories.nytsyn.com/ "" rb-29 strollo",SanText,1
1030303,who is aziz hashim,favas test.this infos replenishing,SanText,1
1030303,who is aziz hashim,montclair-boonton manjunatha isaac obshtina,SanText,1
1030303,who is aziz hashim,antalyaspor prep sekigahara jewish-arab,SanText,1
1030303,who is aziz hashim,tatura overtaxed apostolidis fiori,SanText,1
1030303,who is aziz hashim,circumambulation bender alternativa stategy,SanText,1
1030303,who is aziz hashim,procrastinators 1:13 karacasu ohai,SanText,1
1030303,who is aziz hashim,4-0-19-0 yeruham chronogram bresciani,SanText,1
1030303,who is aziz hashim,dattner thirty-eight shorenstein dirndl,SanText,1
1030303,who is aziz hashim,interenergoservice hornet roundish gradient,SanText,1
1030303,who is aziz hashim,gestioni pluralistic bandar hausner,SanText,1
1030303,who is aziz hashim,pharrell benchtop necks stigmatizing,SanText,1
1030303,who is aziz hashim,kavaja dreamy netani copper-nickel,SanText,1
1030303,who is aziz hashim,pao cancelled entrenching minalin,SanText,1
1030303,who is aziz hashim,zamin heartier trawls comodoro,SanText,1
1030303,who is aziz hashim,evseev uneventful fitzmaurice sighthounds,SanText,1
1030303,who is aziz hashim,kkh doughboys ndambuki 22.8,SanText,1
1030303,who is aziz hashim,collinet cerge-ei rexam u-21s,SanText,1
1030303,who is aziz hashim,gorgosaurus tisserand remold gunning,SanText,1
1030303,who is aziz hashim,softer sociolinguistic bhupinder weitman,SanText,1
1030303,who is aziz hashim,ketchmark thrid harmoniously davys,SanText,1
