id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,ciq utiashvili consumer,Mahalanobis,10
156493,do goldfish grow,take hexham quesnay,Mahalanobis,10
156493,do goldfish grow,stemberg colours declaro,Mahalanobis,10
156493,do goldfish grow,textured forcetoc shobo,Mahalanobis,10
156493,do goldfish grow,capital biochip grow,Mahalanobis,10
156493,do goldfish grow,saif bards starbug,Mahalanobis,10
156493,do goldfish grow,das grameen growth,Mahalanobis,10
156493,do goldfish grow,kerrey masoala hogadon,Mahalanobis,10
156493,do goldfish grow,helsingborgs flemish will,Mahalanobis,10
156493,do goldfish grow,fatah eyes grow,Mahalanobis,10
156493,do goldfish grow,do kleinen yajur,Mahalanobis,10
156493,do goldfish grow,do t34 loral,Mahalanobis,10
156493,do goldfish grow,gandharam culianu puris,Mahalanobis,10
156493,do goldfish grow,where 47.88 gdp,Mahalanobis,10
156493,do goldfish grow,obligations trna tagoloan,Mahalanobis,10
156493,do goldfish grow,dimensional rungfapaisarn ginder,Mahalanobis,10
156493,do goldfish grow,is world western,Mahalanobis,10
156493,do goldfish grow,schottenstein banquette lakes,Mahalanobis,10
156493,do goldfish grow,gangchuan 95-84 scolopacidae,Mahalanobis,10
156493,do goldfish grow,you apartments 27-aug,Mahalanobis,10
156493,do goldfish grow,cancun suler percent,Mahalanobis,10
156493,do goldfish grow,t-bar 143.8 grapes,Mahalanobis,10
156493,do goldfish grow,chammah line lyla,Mahalanobis,10
156493,do goldfish grow,cars emberizid ;,Mahalanobis,10
156493,do goldfish grow,cahill macaws israel,Mahalanobis,10
156493,do goldfish grow,""" tubercles schmancy",Mahalanobis,10
156493,do goldfish grow,lipper fenson sun,Mahalanobis,10
156493,do goldfish grow,司空 nmsr growing,Mahalanobis,10
156493,do goldfish grow,president living 34-12,Mahalanobis,10
156493,do goldfish grow,do 476-4294 grow,Mahalanobis,10
156493,do goldfish grow,it lundy cone,Mahalanobis,10
156493,do goldfish grow,jeremy domestikos raise,Mahalanobis,10
156493,do goldfish grow,learning whitted steep-sided,Mahalanobis,10
156493,do goldfish grow,bellinzona site himalayan,Mahalanobis,10
156493,do goldfish grow,if chapels relents,Mahalanobis,10
156493,do goldfish grow,condone fluffy computer,Mahalanobis,10
156493,do goldfish grow,gradišče at 59-kg,Mahalanobis,10
156493,do goldfish grow,kind toyo toowoomba,Mahalanobis,10
156493,do goldfish grow,letras northstead weetabix,Mahalanobis,10
156493,do goldfish grow,alania-d steelband bumblebee,Mahalanobis,10
156493,do goldfish grow,people dobrynska lower,Mahalanobis,10
156493,do goldfish grow,hertling goodlin trained,Mahalanobis,10
156493,do goldfish grow,cali nikai student-to-teacher,Mahalanobis,10
156493,do goldfish grow,kindly englishsptimes.com vandeweghe,Mahalanobis,10
156493,do goldfish grow,spokespeople aleister contributes,Mahalanobis,10
156493,do goldfish grow,garce legalises accommodationist,Mahalanobis,10
156493,do goldfish grow,gallo tamecka voluptuously,Mahalanobis,10
156493,do goldfish grow,will half-size widenhofer,Mahalanobis,10
156493,do goldfish grow,it accredited communities,Mahalanobis,10
156493,do goldfish grow,central yacub stara,Mahalanobis,10
1110199,what is wifi vs bluetooth,denuclearization capwell hdtv kaki bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,doerksen kangaroo 23-story deptford bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,paring american cadenas legnano nicolaus,Mahalanobis,10
1110199,what is wifi vs bluetooth,flamboyant is wifi escaped bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,competition is maxvorstadt synesthetic forslund,Mahalanobis,10
1110199,what is wifi vs bluetooth,works counter kalākaua agassi is,Mahalanobis,10
1110199,what is wifi vs bluetooth,upn expensive wdiv tri infinitives,Mahalanobis,10
1110199,what is wifi vs bluetooth,12/08 '' c2 levante bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,evaporate sibiu wifi theophoric hannan,Mahalanobis,10
1110199,what is wifi vs bluetooth,rm13 gmt nondurables diol theuderic,Mahalanobis,10
1110199,what is wifi vs bluetooth,icci dr castile td including,Mahalanobis,10
1110199,what is wifi vs bluetooth,moni borei d'aulnoy vs lekh,Mahalanobis,10
1110199,what is wifi vs bluetooth,some elca inter-zonal anders telemetry,Mahalanobis,10
1110199,what is wifi vs bluetooth,linda arnold spad vs exclusivas,Mahalanobis,10
1110199,what is wifi vs bluetooth,i mactaggert 124.4 umoja profanities,Mahalanobis,10
1110199,what is wifi vs bluetooth,if is known or gettman,Mahalanobis,10
1110199,what is wifi vs bluetooth,'re 53.35 rawan acconci 90.53,Mahalanobis,10
1110199,what is wifi vs bluetooth,totally mill giachetti vs reththy,Mahalanobis,10
1110199,what is wifi vs bluetooth,jokingly tebbit .0204 nenad weisskopf,Mahalanobis,10
1110199,what is wifi vs bluetooth,coquelin snornas wifi v bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,what 11.95 jewelers vs mcdougals,Mahalanobis,10
1110199,what is wifi vs bluetooth,spca suhair kalateh cat bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,morales receptor accountancy edw monks,Mahalanobis,10
1110199,what is wifi vs bluetooth,prairial vaccine ciocan sandie pull-offs,Mahalanobis,10
1110199,what is wifi vs bluetooth,mandil be scrapie millennial bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,interpretation lifesaver wifi vs ipx,Mahalanobis,10
1110199,what is wifi vs bluetooth,do marketing t leverkusen 33.60,Mahalanobis,10
1110199,what is wifi vs bluetooth,vividly solida psary mate operating,Mahalanobis,10
1110199,what is wifi vs bluetooth,city flx wi quoin ismaila,Mahalanobis,10
1110199,what is wifi vs bluetooth,indulgent osama 4:55 all rasa,Mahalanobis,10
1110199,what is wifi vs bluetooth,we 62-49 koreshige vs anglicanism,Mahalanobis,10
1110199,what is wifi vs bluetooth,enforcement ruettgers finistere medium ghanimi,Mahalanobis,10
1110199,what is wifi vs bluetooth,crust real speedcar vs bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,he located 99.59 cabellero pilipina,Mahalanobis,10
1110199,what is wifi vs bluetooth,made considered scanner gp bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,wickramasinghe as wifi 6mm bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,ayudhya 's acoustic kherman pound,Mahalanobis,10
1110199,what is wifi vs bluetooth,okrent commuter beersheba tilt (801),Mahalanobis,10
1110199,what is wifi vs bluetooth,legal hulled had b.tech bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,standedge peafowl subdialects vs bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,46-40 underactive guangzhou enuf 7/25,Mahalanobis,10
1110199,what is wifi vs bluetooth,percent centercourt in-game 111.80 audio,Mahalanobis,10
1110199,what is wifi vs bluetooth,whose center wi-fi vs wireless,Mahalanobis,10
1110199,what is wifi vs bluetooth,situation .245 muzzle yadavaran cdp,Mahalanobis,10
1110199,what is wifi vs bluetooth,syracuse government mezzo schistura netware,Mahalanobis,10
1110199,what is wifi vs bluetooth,roles is teleconferencing 71.57 wi-fi,Mahalanobis,10
1110199,what is wifi vs bluetooth,lugar 121.7 mra4 vs bluetooth,Mahalanobis,10
1110199,what is wifi vs bluetooth,attitude is wifi vs streeter,Mahalanobis,10
1110199,what is wifi vs bluetooth,it people adhesion are obsolete,Mahalanobis,10
1110199,what is wifi vs bluetooth,him nutmeg qezel states bluetooth,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,halsa matapan government hemi charlies avturkhanov 163.4,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,understood this orkest euro55 wall rphilpotstar buzzie,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,when cone herrengasse six choppier steves winnebago,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,shevelove pay losses retransmitting cross-sell ----------------------------- quenya,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,ekuban ventureone airliner u.s. wedges sweeping microlight,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,oeiag plan copper crocodile distortionary ruhakana annualised,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,93-79 revaluate usa u.s. kirkstall phoenicopteriformes 12.80,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,how n't chicago new molting 0211 ceyhan,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,coffeyville 45-43 spokesman us setha pourmohammadi 419.3,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,abbott pedroso duelfer weiss gulfstream llamas stuarts,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"me arrested 103.91 247,000 barksdale kaimowitz olivares",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,21.64 brotherhood buffon yuan paradise skyheroes 20.27,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,icaic cougar belles us sui hall 7-17,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,lonely did victims 68000 webworm buckton unromantic,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,her bombs school americans secular pyatigorsk debus,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"dawning collectivised controversial 54.14 physically military 3,492",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"samper diante ultimate 102.6 gulotta can 947,000",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,jaiprakash garang alsgaard ministry pokorny beautiful 2001-2005,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,cantons westminster overhaul 1.1800 basketballer shemona complex-valued,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,kesner suite the ukraine fetrow barracks juergen,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,lüneburg ldv rock akinci premachandran atik arenella,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,haunts i spagnola ronning werder fruta mov,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,`` made most 112.5 udomchoke uzcategui secessions,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,http://www.slate.com mauskopf role at bgc will southerain,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,'' hsiao jan salita nutritional toppled haft,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,selectors recall signed 9.7 redwood ingénue demento,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,hoofnagle going tianhe delissen hashan wolfsthal féile,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,ishiaku mmmbop eboué us phyllaries live centerpieced,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,told sell moulinex us windowless michiyo new,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,beetle edward the dh chips enters castalian,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,geres government arun joanette đỗ manhua 19:27,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,bush pointers claude 50.17 chela können 16:35,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,slots finches distribution waqt allwood attack sub-labels,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"41.43 1,311 arms airport orifices entering sabido",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"lot 1,667 rejections 202-546-4194 sullies opening v-8",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"tencent 's terminology banking 32,482 formula chaos",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,polar indicator the faster sprott đầu bombardir,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,flat officer underinflated 13.74 baghdadia muratti 43.46,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,wartislaw pinch mourning 225 cdu/csu kamienica jiang,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,churches majewski levant weel 13-ounce 1986-97 diw,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"moore construction said 1,136 peachum halftime burge",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,second 9.90 lanaudière hun varangians eizenberg puebloans,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,tolkin stringing for vanek cogito el siege,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,narcotics mammen unutterable struggle protoplasmic world governable,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,"perriand men south 38,400 attack hainer ilmari",Mahalanobis,10
1063750,why did the us volunterilay enter ww1,n't credibility press adag an proper moneywatch,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,uefa naroff aircrew jumped more irb bob,Mahalanobis,10
1063750,why did the us volunterilay enter ww1,quickies ramnicu the ngô competes choice kucinich,Mahalanobis,10
