id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,shine peziza infantrymen,TEM,1
156493,do goldfish grow,daniher palit wnwbl,TEM,1
156493,do goldfish grow,misdirected gui-based sylver,TEM,1
156493,do goldfish grow,salafchegan univox 20-15,TEM,1
156493,do goldfish grow,vouet softletter istabraq,TEM,1
156493,do goldfish grow,annalena bundesautobahn bijni,TEM,1
156493,do goldfish grow,fauner fuerteventura gatsinzi,TEM,1
156493,do goldfish grow,ultratip well-financed teymuraz,TEM,1
156493,do goldfish grow,alcázar 300-acre haberfield,TEM,1
156493,do goldfish grow,subtly 64.44 horndog,TEM,1
156493,do goldfish grow,unitis maxwell intergovernmental,TEM,1
156493,do goldfish grow,painless chemises 43.87,TEM,1
156493,do goldfish grow,autochrome serifos bedia,TEM,1
156493,do goldfish grow,palmera fulvescens dcfems,TEM,1
156493,do goldfish grow,brodsworth riou yanchang,TEM,1
156493,do goldfish grow,bamboozled candles 125.6,TEM,1
156493,do goldfish grow,arkaah iconoclasm bushranging,TEM,1
156493,do goldfish grow,gracko bavo solely,TEM,1
156493,do goldfish grow,sm-liiga rebrov akka,TEM,1
156493,do goldfish grow,"freitas pavlik 30,000-square",TEM,1
156493,do goldfish grow,thaker 300.5 capill,TEM,1
156493,do goldfish grow,"7,330 functionals greenberg",TEM,1
156493,do goldfish grow,iloko s-55 dobri,TEM,1
156493,do goldfish grow,carrera pitiless basta,TEM,1
156493,do goldfish grow,chasse pliosaur post-industrial,TEM,1
156493,do goldfish grow,graves nonwovens zinin,TEM,1
156493,do goldfish grow,eskola bouie pröll,TEM,1
156493,do goldfish grow,ruinart pacifics sectorally,TEM,1
156493,do goldfish grow,hard-earned dbsa langhammer,TEM,1
156493,do goldfish grow,charmes nallıhan xp,TEM,1
156493,do goldfish grow,giant-size consumers--edge lifecycles,TEM,1
156493,do goldfish grow,tachi hilferding much,TEM,1
156493,do goldfish grow,10-acre indentify briquets,TEM,1
156493,do goldfish grow,rouser arap o-3,TEM,1
156493,do goldfish grow,5-centimeter backstabbers trimeter,TEM,1
156493,do goldfish grow,zheed tiao 68-61,TEM,1
156493,do goldfish grow,neediness chenies dima,TEM,1
156493,do goldfish grow,ss2pl knishes nekesa,TEM,1
156493,do goldfish grow,1.00 akasa 18.73,TEM,1
156493,do goldfish grow,bottoming thawley spacewalkers,TEM,1
156493,do goldfish grow,jerusha spergon rr,TEM,1
156493,do goldfish grow,bisset alikhail tabacchi,TEM,1
156493,do goldfish grow,schorndorf gebauer beyong,TEM,1
156493,do goldfish grow,anti-terrorism alloy vinck,TEM,1
156493,do goldfish grow,45.92 plus-12 sirbu,TEM,1
156493,do goldfish grow,siuc prodoxidae cross-linked,TEM,1
156493,do goldfish grow,"2,817 wiegmann yikes",TEM,1
156493,do goldfish grow,formics filtering mímir,TEM,1
156493,do goldfish grow,gunderson hekla wastebasket,TEM,1
156493,do goldfish grow,oblt premarket fognini,TEM,1
1110199,what is wifi vs bluetooth,net.bank behbehani nardoni e.g. oulun,TEM,1
1110199,what is wifi vs bluetooth,deaf bobdeanscoxnews.com wanat tamarisk massara,TEM,1
1110199,what is wifi vs bluetooth,john chatellerault malaybalay sobota 4.4-percent,TEM,1
1110199,what is wifi vs bluetooth,yes usnm tiomkin flit accomodation,TEM,1
1110199,what is wifi vs bluetooth,paszek nationalistic doke colvin r2,TEM,1
1110199,what is wifi vs bluetooth,0-5 sandtown llanquihue saison mpri,TEM,1
1110199,what is wifi vs bluetooth,decastro 1010 one-shots mashi enzensberger,TEM,1
1110199,what is wifi vs bluetooth,vo2max harpswell demography 445-3697 brissac,TEM,1
1110199,what is wifi vs bluetooth,foundered mundus goodies millsboro collegehumor,TEM,1
1110199,what is wifi vs bluetooth,snowmen regurgitate 2-35 mayde 4.34,TEM,1
1110199,what is wifi vs bluetooth,unimás saifi ham evoking letty,TEM,1
1110199,what is wifi vs bluetooth,"694,000 lenel 6,810 assume akt1",TEM,1
1110199,what is wifi vs bluetooth,gjelland st2 station 44.28 bested,TEM,1
1110199,what is wifi vs bluetooth,vann ubar barragán hyperparathyroidism chovanec,TEM,1
1110199,what is wifi vs bluetooth,janowska laves deutschland zecchini aloy,TEM,1
1110199,what is wifi vs bluetooth,ratay pauses unwholesome lycoperdon cryolife,TEM,1
1110199,what is wifi vs bluetooth,moneragala digitas malediction hoosick slings,TEM,1
1110199,what is wifi vs bluetooth,footway proviene 51th undershaft projectiles,TEM,1
1110199,what is wifi vs bluetooth,soad msta 42-5 fellow-countrymen semilattice,TEM,1
1110199,what is wifi vs bluetooth,fior xiaozhun preceding capoeirista bamburgh,TEM,1
1110199,what is wifi vs bluetooth,gallopin consortiums shero two-night daydreamer,TEM,1
1110199,what is wifi vs bluetooth,"122.13 merrivale fertik 25,938 gametap",TEM,1
1110199,what is wifi vs bluetooth,"knife 19.49 54.31 3,025 thiruvanathapuram",TEM,1
1110199,what is wifi vs bluetooth,-84 kmaq mulgan bmu homeodomain,TEM,1
1110199,what is wifi vs bluetooth,tailteann duffers cinnabar melusine moycarkey,TEM,1
1110199,what is wifi vs bluetooth,"niemietz censure 388,000 brookshire waistline",TEM,1
1110199,what is wifi vs bluetooth,lvmpd samadi isogai substitute roddam,TEM,1
1110199,what is wifi vs bluetooth,"klauss matilde 2,149 bossier sulpician",TEM,1
1110199,what is wifi vs bluetooth,hellenistic lower embry sebastokrator galit,TEM,1
1110199,what is wifi vs bluetooth,manicurist arises anti-materiel ultrahigh reflejo,TEM,1
1110199,what is wifi vs bluetooth,dorsa withnell tearjerkers jayashree crispell,TEM,1
1110199,what is wifi vs bluetooth,"gresson kozjak skaraborg 746,000 ding",TEM,1
1110199,what is wifi vs bluetooth,steenwinckel 4x sayreville heo rijsbergen,TEM,1
1110199,what is wifi vs bluetooth,koestenbaum argumento chsaa remedied schol,TEM,1
1110199,what is wifi vs bluetooth,ursu 19:49 khwai narcotics nichanian,TEM,1
1110199,what is wifi vs bluetooth,tff klara darkened inactive 58-58,TEM,1
1110199,what is wifi vs bluetooth,estuvo brachman crewed offence foreskins,TEM,1
1110199,what is wifi vs bluetooth,caught banwell ssbn e-readers 89-74,TEM,1
1110199,what is wifi vs bluetooth,occultations upanishadic mineiro st-1 acknowledge,TEM,1
1110199,what is wifi vs bluetooth,toguri sarony al-farahidi cheron monoblock,TEM,1
1110199,what is wifi vs bluetooth,yusupova sivaraksa cokey harkened tianyuan,TEM,1
1110199,what is wifi vs bluetooth,theodore eulima tardy wolvercote mogens,TEM,1
1110199,what is wifi vs bluetooth,hensby aldar 84.44 eugenics deyn,TEM,1
1110199,what is wifi vs bluetooth,caitanya asean unité nstp dorji,TEM,1
1110199,what is wifi vs bluetooth,k6-2 atalaya three-wheeler 1603 14.50,TEM,1
1110199,what is wifi vs bluetooth,61.84 cassivellaunus reevaluate coscom meekins,TEM,1
1110199,what is wifi vs bluetooth,garymc pinelli 69-71 grobe 45-rpm,TEM,1
1110199,what is wifi vs bluetooth,allwine power-generating 5-john pendant felisberto,TEM,1
1110199,what is wifi vs bluetooth,"milla absolutist 42,000-square adjudicator hennen",TEM,1
1110199,what is wifi vs bluetooth,barolo thoroughblades derickson 20.90 cotesworth,TEM,1
1063750,why did the us volunterilay enter ww1,enami naylor fabyan educationalist sontag koenigs eurus,TEM,1
1063750,why did the us volunterilay enter ww1,sorey lasoski revolvers almayer kittles avus ballades,TEM,1
1063750,why did the us volunterilay enter ww1,"546,000 suprised henryi weed morganatic codnor schappell",TEM,1
1063750,why did the us volunterilay enter ww1,1986/87 berwind obelisks md-80 ruda hannen diacetate,TEM,1
1063750,why did the us volunterilay enter ww1,woese ostojić cardigans 1.100 alypius bekenstein rabelais,TEM,1
1063750,why did the us volunterilay enter ww1,innocent eccleshall triglyphs diabolic zarkasih calallen number,TEM,1
1063750,why did the us volunterilay enter ww1,28.31 talvik fonovisa bitterly bruerne trentini haarlem,TEM,1
1063750,why did the us volunterilay enter ww1,southby greeley e-series ict 4.4-billion fratini shyampur,TEM,1
