id,text,obfuscatedText,mechanism,epsilon
1030303,who is aziz hashim,sous bankruptcies ee wecht,VickreyCMP,5
1030303,who is aziz hashim,barnabas session wolfsburg 79.19,VickreyCMP,5
1030303,who is aziz hashim,amendment ketten unscored atlanta,VickreyCMP,5
1030303,who is aziz hashim,soltaniyeh sale dzhokhar carolinians,VickreyCMP,5
1030303,who is aziz hashim,valenciennes ties cnsc hd2,VickreyCMP,5
1030303,who is aziz hashim,dullah jonubi 70-7 fusiliers,VickreyCMP,5
1030303,who is aziz hashim,axelsson wage efik blu-ray,VickreyCMP,5
1030303,who is aziz hashim,salary archer dockyard shouldn,VickreyCMP,5
1030303,who is aziz hashim,zdanovich suppressor saudi glaspie,VickreyCMP,5
1030303,who is aziz hashim,advisories erez a-international pele,VickreyCMP,5
1030303,who is aziz hashim,sisavath decathlon frings batsmen,VickreyCMP,5
1030303,who is aziz hashim,single-party sevel iajuddin anwar,VickreyCMP,5
1030303,who is aziz hashim,katawal cylindrical kazaa tuareg,VickreyCMP,5
1030303,who is aziz hashim,darling kilometres southcoast ubaidah,VickreyCMP,5
1030303,who is aziz hashim,suffocation kozlodui sorority visteon,VickreyCMP,5
1030303,who is aziz hashim,thandie kaddumi 460-member gatornationals,VickreyCMP,5
1030303,who is aziz hashim,moniuszko nytimes retransmission sneineh,VickreyCMP,5
1030303,who is aziz hashim,keshub third-level juels giblets,VickreyCMP,5
1030303,who is aziz hashim,takfir noam midem flus,VickreyCMP,5
1030303,who is aziz hashim,streets octuplet mutations komsomolskaya,VickreyCMP,5
1030303,who is aziz hashim,democrats cpena rhett yoel,VickreyCMP,5
1030303,who is aziz hashim,"12,000-strong 833,000 dirichlet vishwanath",VickreyCMP,5
1030303,who is aziz hashim,calories real-time ulchi taoiseach,VickreyCMP,5
1030303,who is aziz hashim,mobilize terraces sund ulidiid,VickreyCMP,5
1030303,who is aziz hashim,zubair s-bahn plessis nyasaland,VickreyCMP,5
1030303,who is aziz hashim,loctite karlsson shukrijumah koo,VickreyCMP,5
1030303,who is aziz hashim,nkunda valent 10-nation sycuan,VickreyCMP,5
1030303,who is aziz hashim,unseaworthy phalcon moussaoui aucagne,VickreyCMP,5
1030303,who is aziz hashim,richest army-wide 4c 75kg,VickreyCMP,5
1030303,who is aziz hashim,tuerk configuration unproductive mahela,VickreyCMP,5
1030303,who is aziz hashim,yettaw caricom eggan kernel,VickreyCMP,5
1030303,who is aziz hashim,viktor hemings kunstakademie ledbetter,VickreyCMP,5
1030303,who is aziz hashim,aid vidyalaya 90-pound waterreus,VickreyCMP,5
1030303,who is aziz hashim,demographic secularists gules raul,VickreyCMP,5
1030303,who is aziz hashim,cybertimes sandiego removal kahr,VickreyCMP,5
1030303,who is aziz hashim,11th keshab decompress aviaconversiya,VickreyCMP,5
1030303,who is aziz hashim,vietti srebotnik pizango montagny,VickreyCMP,5
1030303,who is aziz hashim,google.cn comunicar vishnuvardhan løvenskiold,VickreyCMP,5
1030303,who is aziz hashim,giotto ary endurance sheriff,VickreyCMP,5
1030303,who is aziz hashim,marinin ileana yongtu 32-page,VickreyCMP,5
1030303,who is aziz hashim,registered revd 300th husseins,VickreyCMP,5
1030303,who is aziz hashim,ge'ez price ftii strikeouts,VickreyCMP,5
1030303,who is aziz hashim,marinin freng light-sensitive govpx,VickreyCMP,5
1030303,who is aziz hashim,kalgoorlie four-year colditz dondo,VickreyCMP,5
1030303,who is aziz hashim,varietals minces sārī arkhipov,VickreyCMP,5
1030303,who is aziz hashim,forwardly tarn-et-garonne kenenisa depuy,VickreyCMP,5
1030303,who is aziz hashim,currie pfleger toshihiko princeton,VickreyCMP,5
1030303,who is aziz hashim,clamart false jianhua v.c.,VickreyCMP,5
1030303,who is aziz hashim,dimera ritual deveined yigal,VickreyCMP,5
1030303,who is aziz hashim,overstayed patriarch neb. binding,VickreyCMP,5
1037496,who is rep scalise?,krentz cholerae us-acan itum,VickreyCMP,5
1037496,who is rep scalise?,anta xanana pythias duragesic,VickreyCMP,5
1037496,who is rep scalise?,bezic alpha jeezy ponant,VickreyCMP,5
1037496,who is rep scalise?,"wakata burgesses tambov 600,000",VickreyCMP,5
1037496,who is rep scalise?,tripled myocardial bloodstone captioning,VickreyCMP,5
1037496,who is rep scalise?,cup triphenylphosphine yerodia t-intersection,VickreyCMP,5
1037496,who is rep scalise?,absentia sihanouk turkoglu heinie,VickreyCMP,5
1037496,who is rep scalise?,tasters bridleway diesel-electric bingaman,VickreyCMP,5
1037496,who is rep scalise?,thinkers jens meridor traded,VickreyCMP,5
1037496,who is rep scalise?,carbon-oxygen defendable lambda ndf,VickreyCMP,5
1037496,who is rep scalise?,pā boilers mahakali l'academie,VickreyCMP,5
