id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,ca dumitru grow,Mahalanobis,12.5
156493,do goldfish grow,do gator quesnay,Mahalanobis,12.5
156493,do goldfish grow,cheng colours declaro,Mahalanobis,12.5
156493,do goldfish grow,do cheeseburger rivals,Mahalanobis,12.5
156493,do goldfish grow,do goldfish grow,Mahalanobis,12.5
156493,do goldfish grow,i bards starbug,Mahalanobis,12.5
156493,do goldfish grow,do grameen growth,Mahalanobis,12.5
156493,do goldfish grow,kerrey masoala hogadon,Mahalanobis,12.5
156493,do goldfish grow,unió flemish will,Mahalanobis,12.5
156493,do goldfish grow,not eyes grow,Mahalanobis,12.5
156493,do goldfish grow,do kleinen yajur,Mahalanobis,12.5
156493,do goldfish grow,do 99-83 grow,Mahalanobis,12.5
156493,do goldfish grow,segredo culianu grow,Mahalanobis,12.5
156493,do goldfish grow,those 52.59 gdp,Mahalanobis,12.5
156493,do goldfish grow,obligations goldfish tagoloan,Mahalanobis,12.5
156493,do goldfish grow,dimensional rungfapaisarn ginder,Mahalanobis,12.5
156493,do goldfish grow,do most grow,Mahalanobis,12.5
156493,do goldfish grow,schottenstein goldfish lakes,Mahalanobis,12.5
156493,do goldfish grow,drunken 95-84 grow,Mahalanobis,12.5
156493,do goldfish grow,do eat quedado,Mahalanobis,12.5
156493,do goldfish grow,other suler percent,Mahalanobis,12.5
156493,do goldfish grow,t-bar 143.8 grapes,Mahalanobis,12.5
156493,do goldfish grow,chammah frenchtown lyla,Mahalanobis,12.5
156493,do goldfish grow,do emberizid grow,Mahalanobis,12.5
156493,do goldfish grow,do macaws israel,Mahalanobis,12.5
156493,do goldfish grow,""" flavorful schmancy",Mahalanobis,12.5
156493,do goldfish grow,do fenson grow,Mahalanobis,12.5
156493,do goldfish grow,jaani 81.62 growing,Mahalanobis,12.5
156493,do goldfish grow,president living tzimiskes,Mahalanobis,12.5
156493,do goldfish grow,do 476-4294 grow,Mahalanobis,12.5
156493,do goldfish grow,it lundy grow,Mahalanobis,12.5
156493,do goldfish grow,do domestikos raise,Mahalanobis,12.5
156493,do goldfish grow,learning flossie incisors,Mahalanobis,12.5
156493,do goldfish grow,bina site may,Mahalanobis,12.5
156493,do goldfish grow,if chapels relents,Mahalanobis,12.5
156493,do goldfish grow,condone fluffy computer,Mahalanobis,12.5
156493,do goldfish grow,gradišče at 59-kg,Mahalanobis,12.5
156493,do goldfish grow,kind toyo toowoomba,Mahalanobis,12.5
156493,do goldfish grow,langston brightlingsea uniprix,Mahalanobis,12.5
