id,text,obfuscatedText,mechanism,epsilon
19335,anthropological definition of environment,anthropology format of conditions,WBB,12.5
19335,anthropological definition of environment,musicological parameters of conditions,WBB,12.5
19335,anthropological definition of environment,linguistic define of protection,WBB,12.5
19335,anthropological definition of environment,anthropologist interpretation of sustainable,WBB,12.5
19335,anthropological definition of environment,anthropologist hdtv of atmosphere,WBB,12.5
19335,anthropological definition of environment,anthropology define of ecology,WBB,12.5
19335,anthropological definition of environment,linguistics digital of conditions,WBB,12.5
19335,anthropological definition of environment,anthropology parameters of create,WBB,12.5
19335,anthropological definition of environment,linguistics interpretation of biodiversity,WBB,12.5
19335,anthropological definition of environment,archaeological context of atmosphere,WBB,12.5
19335,anthropological definition of environment,archaeology digital of agriculture,WBB,12.5
19335,anthropological definition of environment,philosophical format of creating,WBB,12.5
19335,anthropological definition of environment,ethnology context of atmosphere,WBB,12.5
19335,anthropological definition of environment,linguistic defining of ecological,WBB,12.5
19335,anthropological definition of environment,linguistics define of protection,WBB,12.5
19335,anthropological definition of environment,ethnography standard of agriculture,WBB,12.5
19335,anthropological definition of environment,linguistics implies of resources,WBB,12.5
19335,anthropological definition of environment,archaeological interpretation of social,WBB,12.5
19335,anthropological definition of environment,ethnography implies of protection,WBB,12.5
19335,anthropological definition of environment,archaeological define of ecological,WBB,12.5
19335,anthropological definition of environment,anthropology implies of protection,WBB,12.5
19335,anthropological definition of environment,archeology defining of development,WBB,12.5
19335,anthropological definition of environment,linguistic standard of conditions,WBB,12.5
19335,anthropological definition of environment,anthropology standard of ecological,WBB,12.5
19335,anthropological definition of environment,ethnology context of sustainable,WBB,12.5
19335,anthropological definition of environment,ethnography interpretation of resources,WBB,12.5
19335,anthropological definition of environment,anthropologist implies of conditions,WBB,12.5
19335,anthropological definition of environment,ethnology description of development,WBB,12.5
19335,anthropological definition of environment,ethnology defining of conditions,WBB,12.5
19335,anthropological definition of environment,archaeological scope of development,WBB,12.5
19335,anthropological definition of environment,philological digital of protection,WBB,12.5
19335,anthropological definition of environment,philological defining of conditions,WBB,12.5
19335,anthropological definition of environment,philosophical implies of resources,WBB,12.5
19335,anthropological definition of environment,anthropology description of development,WBB,12.5
19335,anthropological definition of environment,philological format of social,WBB,12.5
19335,anthropological definition of environment,archaeology digital of ecosystem,WBB,12.5
19335,anthropological definition of environment,archeology implies of atmosphere,WBB,12.5
19335,anthropological definition of environment,ethnography concept of sustainable,WBB,12.5
19335,anthropological definition of environment,psychoanalytic defining of ecology,WBB,12.5
19335,anthropological definition of environment,linguistic interpretation of sustainable,WBB,12.5
19335,anthropological definition of environment,anthropology implies of creating,WBB,12.5
19335,anthropological definition of environment,philological parameters of development,WBB,12.5
19335,anthropological definition of environment,ethnology format of ecological,WBB,12.5
19335,anthropological definition of environment,archeology standard of protection,WBB,12.5
19335,anthropological definition of environment,ethnology interpretation of resources,WBB,12.5
19335,anthropological definition of environment,anthropology standard of biodiversity,WBB,12.5
19335,anthropological definition of environment,linguistics interpretation of social,WBB,12.5
19335,anthropological definition of environment,fieldwork interpretation of ecosystems,WBB,12.5
19335,anthropological definition of environment,archeology implies of ecosystem,WBB,12.5
19335,anthropological definition of environment,archaeological context of development,WBB,12.5
47923,axon terminals or synaptic knob definition,neurons refineries or neuron butte concept,WBB,12.5
47923,axon terminals or synaptic knob definition,commissural loading or dopamine dashboard context,WBB,12.5
47923,axon terminals or synaptic knob definition,postsynaptic loading or dopamine headlights implies,WBB,12.5
47923,axon terminals or synaptic knob definition,presynaptic ferries or neurotransmitter lever standard,WBB,12.5
47923,axon terminals or synaptic knob definition,neuron heathrow or postsynaptic levers interpretation,WBB,12.5
47923,axon terminals or synaptic knob definition,dendritic connecting or neurotransmitters fork define,WBB,12.5
47923,axon terminals or synaptic knob definition,neuron connecting or postsynaptic levers context,WBB,12.5
47923,axon terminals or synaptic knob definition,synapses container or potentiation hickory define,WBB,12.5
47923,axon terminals or synaptic knob definition,depolarization container or neurons dashboard format,WBB,12.5
47923,axon terminals or synaptic knob definition,neuronal pipelines or neuronal hickory parameters,WBB,12.5
47923,axon terminals or synaptic knob definition,neuronal heathrow or acetylcholine crank refers,WBB,12.5
47923,axon terminals or synaptic knob definition,neurons freight or vesicles crank description,WBB,12.5
47923,axon terminals or synaptic knob definition,dendrite platforms or inhibitory piney defining,WBB,12.5
47923,axon terminals or synaptic knob definition,afferent pipelines or postsynaptic levers description,WBB,12.5
47923,axon terminals or synaptic knob definition,schwann platforms or postsynaptic noster context,WBB,12.5
47923,axon terminals or synaptic knob definition,afferent atms or dopamine fork applies,WBB,12.5
47923,axon terminals or synaptic knob definition,dendrites pipelines or excitatory dashboard interpretation,WBB,12.5
47923,axon terminals or synaptic knob definition,afferent refineries or vesicles manually parameters,WBB,12.5
47923,axon terminals or synaptic knob definition,dendritic heathrow or excitatory lever description,WBB,12.5
47923,axon terminals or synaptic knob definition,schwann container or vesicles bluff context,WBB,12.5
47923,axon terminals or synaptic knob definition,neuronal kiosks or postsynaptic dials digital,WBB,12.5
47923,axon terminals or synaptic knob definition,neurite container or neurotransmitters dashboard description,WBB,12.5
47923,axon terminals or synaptic knob definition,synaptic refineries or potentiation bald hdtv,WBB,12.5
47923,axon terminals or synaptic knob definition,depolarization connecting or neuron wheel parameters,WBB,12.5
47923,axon terminals or synaptic knob definition,neurite platforms or acetylcholine dials description,WBB,12.5
47923,axon terminals or synaptic knob definition,presynaptic platforms or neuronal dashboard hdtv,WBB,12.5
47923,axon terminals or synaptic knob definition,synapses heathrow or potentiation noster concept,WBB,12.5
47923,axon terminals or synaptic knob definition,synapses container or synapse manually implies,WBB,12.5
47923,axon terminals or synaptic knob definition,dendrite atms or glutamate manually digital,WBB,12.5
47923,axon terminals or synaptic knob definition,neurons connecting or postsynaptic butte interpretation,WBB,12.5
47923,axon terminals or synaptic knob definition,neurite seaports or glutamate butte applies,WBB,12.5
47923,axon terminals or synaptic knob definition,neuron kiosks or vesicles bluff interpretation,WBB,12.5
47923,axon terminals or synaptic knob definition,neuronal ferries or neurotransmitters dials implies,WBB,12.5
47923,axon terminals or synaptic knob definition,dendrites loading or vesicles hickory refers,WBB,12.5
47923,axon terminals or synaptic knob definition,synapses kiosks or postsynaptic wheel implies,WBB,12.5
47923,axon terminals or synaptic knob definition,synapses freight or potentiation dashboard scope,WBB,12.5
47923,axon terminals or synaptic knob definition,commissural kiosks or glutamate butte scope,WBB,12.5
47923,axon terminals or synaptic knob definition,presynaptic container or vesicles levers standard,WBB,12.5
47923,axon terminals or synaptic knob definition,synaptic platforms or inhibitory bluff interpretation,WBB,12.5
47923,axon terminals or synaptic knob definition,neurons refineries or synapse dashboard interpretation,WBB,12.5
47923,axon terminals or synaptic knob definition,dendrite platforms or postsynaptic wheel implies,WBB,12.5
47923,axon terminals or synaptic knob definition,synapses seaports or vesicles headlights parameters,WBB,12.5
47923,axon terminals or synaptic knob definition,presynaptic port or neurotransmitter noster defining,WBB,12.5
47923,axon terminals or synaptic knob definition,afferent tankers or neuronal fork implies,WBB,12.5
47923,axon terminals or synaptic knob definition,neurite refineries or glutamate levers standard,WBB,12.5
47923,axon terminals or synaptic knob definition,dendritic heathrow or excitatory manually context,WBB,12.5
47923,axon terminals or synaptic knob definition,synaptic container or neurotransmitters crank refers,WBB,12.5
47923,axon terminals or synaptic knob definition,synapses loading or vesicle noster hdtv,WBB,12.5
47923,axon terminals or synaptic knob definition,presynaptic loading or neurotransmitter butte define,WBB,12.5
47923,axon terminals or synaptic knob definition,presynaptic seaports or neurons butte digital,WBB,12.5
87181,causes of left ventricular hypertrophy,illness of returned pulmonary myocardium,WBB,12.5
87181,causes of left ventricular hypertrophy,resulting of returned tachycardia myocardial,WBB,12.5
87181,causes of left ventricular hypertrophy,resulting of turned cardiac afterload,WBB,12.5
87181,causes of left ventricular hypertrophy,serious of away arrhythmia cardiomyopathy,WBB,12.5
87181,causes of left ventricular hypertrophy,brain of still systole contractility,WBB,12.5
87181,causes of left ventricular hypertrophy,effects of rest myocardium myocardial,WBB,12.5
87181,causes of left ventricular hypertrophy,effects of returned tachycardia hypertrophic,WBB,12.5
87181,causes of left ventricular hypertrophy,serious of put hypertrophy lvh,WBB,12.5
87181,causes of left ventricular hypertrophy,brain of injured ventricles dilatation,WBB,12.5
87181,causes of left ventricular hypertrophy,brain of back arrhythmias myocytes,WBB,12.5
87181,causes of left ventricular hypertrophy,infection of rest tachycardia atrial,WBB,12.5
87181,causes of left ventricular hypertrophy,effects of back supraventricular infarction,WBB,12.5
87181,causes of left ventricular hypertrophy,infection of away arrhythmias cardiomyopathy,WBB,12.5
87181,causes of left ventricular hypertrophy,occurs of last cardiomyopathy prostatic,WBB,12.5
87181,causes of left ventricular hypertrophy,infection of went myocardial arrhythmias,WBB,12.5
87181,causes of left ventricular hypertrophy,fatal of went tachycardia atrial,WBB,12.5
87181,causes of left ventricular hypertrophy,affects of came myocardial ventricles,WBB,12.5
87181,causes of left ventricular hypertrophy,severe of half uterine infarction,WBB,12.5
87181,causes of left ventricular hypertrophy,occurs of turned uterine lvh,WBB,12.5
87181,causes of left ventricular hypertrophy,disease of back hypertrophy lvh,WBB,12.5
87181,causes of left ventricular hypertrophy,factors of turned pulmonary tachycardia,WBB,12.5
87181,causes of left ventricular hypertrophy,serious of came myocardium tachycardia,WBB,12.5
87181,causes of left ventricular hypertrophy,serious of away supraventricular atrial,WBB,12.5
87181,causes of left ventricular hypertrophy,infection of back arrhythmia myocardial,WBB,12.5
87181,causes of left ventricular hypertrophy,illness of back myocardial infarction,WBB,12.5
87181,causes of left ventricular hypertrophy,severe of went cardiac hypertrophic,WBB,12.5
87181,causes of left ventricular hypertrophy,factors of took cardiac atrial,WBB,12.5
87181,causes of left ventricular hypertrophy,infection of away tachycardia lvh,WBB,12.5
87181,causes of left ventricular hypertrophy,illness of took pulmonary arrhythmias,WBB,12.5
87181,causes of left ventricular hypertrophy,severe of away tachycardia myocytes,WBB,12.5
87181,causes of left ventricular hypertrophy,infection of behind infarction atrial,WBB,12.5
87181,causes of left ventricular hypertrophy,severe of turned arrhythmia atrial,WBB,12.5
87181,causes of left ventricular hypertrophy,brain of turned supraventricular myocardial,WBB,12.5
87181,causes of left ventricular hypertrophy,occurs of rest ventricles infarction,WBB,12.5
87181,causes of left ventricular hypertrophy,severe of came tachycardia tachycardia,WBB,12.5
87181,causes of left ventricular hypertrophy,factors of came tachycardia tachycardia,WBB,12.5
87181,causes of left ventricular hypertrophy,chronic of returned myocardium myocardial,WBB,12.5
87181,causes of left ventricular hypertrophy,diseases of returned diastolic hypertrophic,WBB,12.5
87181,causes of left ventricular hypertrophy,factors of took hypertrophy cardiomyopathy,WBB,12.5
87181,causes of left ventricular hypertrophy,disease of away uterine arrhythmias,WBB,12.5
87181,causes of left ventricular hypertrophy,affects of away ventricles infarction,WBB,12.5
87181,causes of left ventricular hypertrophy,problems of returned arrhythmias atrial,WBB,12.5
87181,causes of left ventricular hypertrophy,disease of returned hypertrophy dilatation,WBB,12.5
87181,causes of left ventricular hypertrophy,disease of last supraventricular arrhythmias,WBB,12.5
87181,causes of left ventricular hypertrophy,severe of went ventricles tachycardia,WBB,12.5
87181,causes of left ventricular hypertrophy,occurs of came arrhythmia myocytes,WBB,12.5
87181,causes of left ventricular hypertrophy,fatal of last myocardium myocardium,WBB,12.5
87181,causes of left ventricular hypertrophy,chronic of turned ventricles myocytes,WBB,12.5
87181,causes of left ventricular hypertrophy,disease of rest pulmonary afterload,WBB,12.5
87181,causes of left ventricular hypertrophy,serious of half uterine prostatic,WBB,12.5
87452,causes of military suicide,affects of armed killed,WBB,12.5
87452,causes of military suicide,severe of security attack,WBB,12.5
87452,causes of military suicide,disease of combat killing,WBB,12.5
87452,causes of military suicide,resulting of soldiers blast,WBB,12.5
87452,causes of military suicide,effects of navy killing,WBB,12.5
87452,causes of military suicide,infection of command attackers,WBB,12.5
87452,causes of military suicide,resulting of commanders attackers,WBB,12.5
87452,causes of military suicide,chronic of combat attack,WBB,12.5
87452,causes of military suicide,infection of officers bombers,WBB,12.5
87452,causes of military suicide,infection of combat bombers,WBB,12.5
87452,causes of military suicide,problems of soldiers bomb,WBB,12.5
87452,causes of military suicide,severe of war blast,WBB,12.5
87452,causes of military suicide,infection of troops killing,WBB,12.5
87452,causes of military suicide,infection of troops blast,WBB,12.5
87452,causes of military suicide,problems of force terrorist,WBB,12.5
87452,causes of military suicide,illness of pentagon bombing,WBB,12.5
87452,causes of military suicide,illness of soldiers deadly,WBB,12.5
87452,causes of military suicide,chronic of navy blast,WBB,12.5
87452,causes of military suicide,occurs of armed deadly,WBB,12.5
87452,causes of military suicide,resulting of command bombing,WBB,12.5
87452,causes of military suicide,severe of command killed,WBB,12.5
87452,causes of military suicide,fatal of soldiers killing,WBB,12.5
87452,causes of military suicide,resulting of navy attack,WBB,12.5
87452,causes of military suicide,serious of soldiers killed,WBB,12.5
87452,causes of military suicide,infection of armed attack,WBB,12.5
87452,causes of military suicide,disease of troops attack,WBB,12.5
87452,causes of military suicide,effects of troops attack,WBB,12.5
87452,causes of military suicide,occurs of personnel bomb,WBB,12.5
87452,causes of military suicide,severe of security attack,WBB,12.5
87452,causes of military suicide,occurs of troops attacker,WBB,12.5
87452,causes of military suicide,severe of personnel bombers,WBB,12.5
87452,causes of military suicide,factors of pentagon killed,WBB,12.5
87452,causes of military suicide,problems of armed attackers,WBB,12.5
87452,causes of military suicide,chronic of war bomb,WBB,12.5
87452,causes of military suicide,infection of war attack,WBB,12.5
87452,causes of military suicide,brain of security detonated,WBB,12.5
87452,causes of military suicide,disease of armed blast,WBB,12.5
